"FileName","Size","BackupDate","LastModified","Type","HasSha256"
"ivf-ca-backup_20260228_090000.tar.gz","133270","20260228","2026-02-28 09:00:05","SQL Dump","False"
"ivf_minio_20260228_020002.tar.gz.sha256","108","20260228","2026-02-28 09:00:04","SQL Dump","True"
"ivf_db_20260228_020000.sql.gz.sha256","105","20260228","2026-02-28 09:00:02","SQL Dump","True"
"ivf_minio_20260227_042053.tar.gz.sha256","108","20260227","2026-02-27 11:20:54","SQL Dump","True"
"ivf_db_20260227_042051.sql.gz.sha256","105","20260227","2026-02-27 11:20:52","SQL Dump","True"
"ivf_minio_20260227_041416.tar.gz.sha256","108","20260227","2026-02-27 11:14:17","SQL Dump","True"
"ivf_db_20260227_041413.sql.gz.sha256","105","20260227","2026-02-27 11:14:15","SQL Dump","True"
"ivf_minio_20260227_040949.tar.gz.sha256","108","20260227","2026-02-27 11:09:50","SQL Dump","True"
"ivf_db_20260227_040947.sql.gz.sha256","105","20260227","2026-02-27 11:09:48","SQL Dump","True"
"ivf_minio_20260227_040627.tar.gz.sha256","108","20260227","2026-02-27 11:06:28","SQL Dump","True"
"ivf_db_20260227_040624.sql.gz.sha256","105","20260227","2026-02-27 11:06:26","SQL Dump","True"
"ivf_minio_20260227_040347.tar.gz.sha256","108","20260227","2026-02-27 11:03:48","SQL Dump","True"
"ivf_db_20260227_040344.sql.gz.sha256","105","20260227","2026-02-27 11:03:46","SQL Dump","True"
"ivf_minio_20260227_033351.tar.gz.sha256","108","20260227","2026-02-27 10:33:53","SQL Dump","True"
"ivf_db_20260227_033349.sql.gz.sha256","105","20260227","2026-02-27 10:33:50","SQL Dump","True"
"ivf_minio_20260227_031725.tar.gz.sha256","108","20260227","2026-02-27 10:17:26","SQL Dump","True"
"ivf_db_20260227_031722.sql.gz.sha256","105","20260227","2026-02-27 10:17:24","SQL Dump","True"
"ivf_minio_20260227_004848.tar.gz.sha256","108","20260227","2026-02-27 07:48:49","SQL Dump","True"
"ivf_db_20260227_004845.sql.gz.sha256","105","20260227","2026-02-27 07:48:47","SQL Dump","True"
"ivf_minio_20260227_004752.tar.gz.sha256","108","20260227","2026-02-27 07:47:54","SQL Dump","True"
"ivf_db_20260227_004750.sql.gz.sha256","105","20260227","2026-02-27 07:47:51","SQL Dump","True"
"ivf_minio_20260226_092932.tar.gz.sha256","108","20260226","2026-02-26 16:29:33","SQL Dump","True"
"ivf_minio_20260226_092512.tar.gz.sha256","108","20260226","2026-02-26 16:25:13","SQL Dump","True"
"ivf_minio_20260226_092424.tar.gz.sha256","108","20260226","2026-02-26 16:24:26","SQL Dump","True"
"ivf_minio_20260226_092021.tar.gz.sha256","108","20260226","2026-02-26 16:20:22","SQL Dump","True"
"ivf_minio_20260226_091931.tar.gz.sha256","108","20260226","2026-02-26 16:19:32","SQL Dump","True"
"ivf_minio_20260226_090043.tar.gz.sha256","108","20260226","2026-02-26 16:00:44","SQL Dump","True"
"ivf_minio_20260226_085917.tar.gz.sha256","108","20260226","2026-02-26 15:59:19","SQL Dump","True"
"ivf_minio_20260226_084417.tar.gz.sha256","108","20260226","2026-02-26 15:44:18","SQL Dump","True"
"ivf_minio_20260226_084315.tar.gz.sha256","108","20260226","2026-02-26 15:43:17","SQL Dump","True"
"ivf_basebackup_20260226_082910.tar.gz.sha256","113","20260226","2026-02-26 15:29:13","Base Backup","True"
"ivf_basebackup_20260226_082910.tar.gz","17647130","20260226","2026-02-26 15:29:13","Base Backup","False"
"ivf_basebackup_20260226_082819.tar.gz.sha256","113","20260226","2026-02-26 15:28:22","Base Backup","True"
"ivf_basebackup_20260226_082819.tar.gz","17647398","20260226","2026-02-26 15:28:22","Base Backup","False"
"ivf_minio_20260226_082349.tar.gz.sha256","108","20260226","2026-02-26 15:23:50","SQL Dump","True"
"ivf_minio_20260226_082213.tar.gz.sha256","108","20260226","2026-02-26 15:22:14","SQL Dump","True"
"ivf_minio_20260226_081400.tar.gz.sha256","108","20260226","2026-02-26 15:14:02","SQL Dump","True"
"ivf_db_20260226_074512.sql.gz.sha256","105","20260226","2026-02-26 14:45:14","SQL Dump","True"
"ivf_minio_20260226_074400.tar.gz.sha256","108","20260226","2026-02-26 14:44:01","SQL Dump","True"
"ivf_db_20260226_074358.sql.gz.sha256","105","20260226","2026-02-26 14:43:59","SQL Dump","True"
"ivf_minio_20260226_074255.tar.gz.sha256","108","20260226","2026-02-26 14:42:56","SQL Dump","True"
"ivf_db_20260226_074253.sql.gz.sha256","105","20260226","2026-02-26 14:42:54","SQL Dump","True"
"ivf-ca-backup_20260226_112256.tar.gz","104763","20260226","2026-02-26 12:17:02","SQL Dump","False"
"ivf-ca-backup_20260226_105710.tar.gz","104765","20260226","2026-02-26 10:57:14","SQL Dump","False"
"ivf-ca-backup_20260226_100221.tar.gz","104636","20260226","2026-02-26 10:02:25","SQL Dump","False"
"ivf-ca-backup_20260226_091837.tar.gz","88427","20260226","2026-02-26 09:18:40","SQL Dump","False"
"ivf-ca-backup_20260226_091716.tar.gz","65283","20260226","2026-02-26 09:17:18","SQL Dump","False"
"ivf-ca-backup_20260226_091639.tar.gz","65290","20260226","2026-02-26 09:16:43","SQL Dump","False"
